Kanji,Onyomi,Kunyomi,English
両,リョウ,None,"both; counter for carriages/cars (e.g., in a train)"
予,ヨ,None,beforehand; previous; I; myself
争,ソウ,あらそ・う,argue; contend; dispute
交,コウ,か・わす、まじ・える、まじ・わる、ま・ざる、ま・じる、ま・ぜる,association; coming & going; mixing
他,タ,ほか,another; other; the others
付,フ,つ・く、つ・ける,adhere; append; attach; refer to
伝,デン,つた・う、つた・える、つた・わる,communicate; report; follow; tradition
位,イ,くらい,rank; grade; about; some; crown;  throne
係,ケイ,かかり、かか・る,concern oneself; connection; duty; person in charge
信,シン,None,trust; to entrust; truth; faith; fidelity
側,ソク,がわ,side; lean; oppose; regret
全,ゼン,すべ・て、まった・く,all; entire; fulfill; whole
内,ダイ、ナイ,うち,inside; within; house; home; among; between
冷,レイ,さ・ます、さ・める、つめ・たい、ひ・える、ひ・や、ひ・やかす、ひ・やす,chill; cold (to the touch); cool
初,ショ,はじ・め、はじ・めて、はつ,beginning; first time
利,リ,き・く,advantage; benefit; profit
加,カ,くわ・える、くわ・わる,add; addition; Canada; include; increase; join
助,ジョ,すけ、たす・かる、たす・ける,assist; help; rescue
労,ロウ,None,labor; reward for; thank for; toil; trouble
勝,ショウ,か・つ、まさ・る,excel; prevail; victory; win
化,カ、ケ,ば・かす、ば・ける,-ization; change; influence; take the form of
単,タン,None,merely; one; simple; single
原,ゲン,はら,field; meadow; plain; original; primitive
参,サン,まい・る,come; go; visit; participate; to intersect; be appened to
反,タン、ハン、ホン,そ・らす、そ・る,anti-
取,シュ,と・る,fetch; take
受,ジュ,う・かる、う・ける,accept; receive; answer; catch
号,ゴウ,None,yell; call; name; nickname; number
向,コウ,む・かう、む・く、む・ける、む・こう,peel; face; tend toward; confront
君,クン,きみ,you; male name suffix; ruler
告,コク,つ・げる,announce; inform; revelation; tell
商,ショウ,あきな・う,trade in; make a deal; merchant
園,エン,その,garden; park; yard
変,ヘン,か・える、か・わる,change; strange; unusual
夫,フ、フウ,おっと,husband; man
失,シツ,うしな・う,be defeated; lose; overlook; error; fault
守,シュ、ス,まも・る,protect; defend
完,カン,None,completion; end; perfect
官,カン,None,bureaucrat; government; organ (body)
定,ジョウ、テイ,さだ・か、さだ・まる、さだ・める,decide; determine; establish; fix
実,ジツ,み、みの・る,reality; truth
客,カク、キャク,None,client; customer; guest; visitor
宿,シュク,やど、やど・す、やど・る,to stay; lodge; inn; dwelling
察,サツ,None,clearly understand; know well; judge; classify
対,タイ、ツイ,None,anti-; oppose; face; answer; respond
局,キョク,None,"punctuation; division; bureau; department; board (of a game, ex. shoji)"
